utt	orth
gi07.cha_233	well .
gi07.cha_234	yes say hello .
gi07.cha_235	say hello .
gi07.cha_236	well .
gi07.cha_237	now what chou [: you] trying to tell me ?
gi07.cha_238	hey ?
gi07.cha_239	come off it mummie .
gi07.cha_240	don't you want to stand there anymore ?
gi07.cha_241	tell me to play with your feet .
gi07.cha_242	come on sweet .
gi07.cha_243	please take me out mummie ?
gi07.cha_244	well then ?
gi07.cha_245	hey ?
gi07.cha_246	oh dear .
gi07.cha_247	oh dear what's this ?
gi07.cha_248	oh dear .
gi07.cha_249	having a push ?
gi07.cha_250	oop ?
gi07.cha_251	push ?
gi07.cha_252	all up ?
gi07.cha_253	hey ?
gi07.cha_254	oop ?
gi07.cha_255	&ah oh !
gi07.cha_256	yes .
gi07.cha_257	turn u:p !
gi07.cha_258	you clever boy !
gi07.cha_259	well .
gi07.cha_260	&hah well ?
gi07.cha_261	hello .
gi07.cha_262	yes .
gi07.cha_263	ho well !
gi07.cha_264	oh yes .
gi07.cha_265	what's this look ?
gi07.cha_266	what's it doing to you ?
gi07.cha_267	hey ?
gi07.cha_268	tickle your feet ?
gi07.cha_269	tickle your feet ?
gi07.cha_270	yes .
gi07.cha_271	oh dear .
gi07.cha_272	oh dear dear .
gi07.cha_273	well then ?
gi07.cha_274	are you trying to say things to me yes I know ?
gi07.cha_275	get me out_of here is that what you're saying ?
gi07.cha_276	is it ?
gi07.cha_277	who's this ?
gi07.cha_278	who's this ?
gi07.cha_279	hello .
gi07.cha_280	hello .
gi07.cha_281	oh dear me .
gi07.cha_282	hello hello .
gi07.cha_283	hello Christopher .
gi07.cha_284	oh dear .
gi07.cha_285	&hah oh: !
gi07.cha_286	well ?
gi07.cha_287	oh well !
gi07.cha_288	oh ?
gi07.cha_289	oh ?
gi07.cha_290	oh ?
gi07.cha_291	oh ?
gi07.cha_292	oh ?
gi07.cha_293	&ha well .
gi07.cha_294	&ha well .
gi07.cha_295	hey ?
gi07.cha_296	well ?
gi07.cha_297	d(o) ya want to clap your hands ?
gi07.cha_298	hey ?
gi07.cha_299	&hmm ?
gi07.cha_300	clap your hands go up .
gi07.cha_301	Christopher .
gi07.cha_302	hello .
gi07.cha_303	peekaboo !
gi07.cha_304	peekaboo !
gi07.cha_305	peekaboo ?
gi07.cha_306	oh ?
gi07.cha_307	you don't join in though do ya ?
gi07.cha_308	no ?
gi07.cha_309	no you don't .
gi07.cha_310	well ?
gi07.cha_311	ya going to clap your hands ?
gi07.cha_312	clap hands look .
gi07.cha_313	look ?
gi07.cha_314	you want to do it ?
gi07.cha_315	hello .
gi07.cha_316	you do it .
gi07.cha_317	Christopher do it .
gi07.cha_318	come on ?
gi07.cha_319	come on .
gi07.cha_320	you could do it .
gi07.cha_321	can't ya do it without music ?
gi07.cha_322	can't ya ?
gi07.cha_323	oh that's it come on you try .
gi07.cha_324	you try .
gi07.cha_325	come on .
gi07.cha_326	Christopher do it .
gi07.cha_327	Christopher do it .
gi07.cha_328	yeah .
gi07.cha_329	come on .
gi07.cha_330	have you got hiccoughs ?
gi07.cha_331	&hah dear !
gi07.cha_332	oh dear ?
gi07.cha_333	clap your hands .
gi07.cha_334	&hah o:h !
gi07.cha_335	that's it ?
gi07.cha_336	well ?
gi07.cha_337	yes !
gi07.cha_338	oh o:h ?
gi07.cha_339	oh ?
gi07.cha_340	dear me .
gi07.cha_341	you can clap your hands can't you ?
gi07.cha_342	yes you can .
gi07.cha_343	I know you can .
gi07.cha_344	oh dear .
gi07.cha_345	oh dear oh: well .
gi07.cha_346	have a little bounce .
gi07.cha_347	have a little bounce .
gi07.cha_348	that's good .
gi07.cha_349	have a little bounce .
gi07.cha_350	he:y ?
gi07.cha_351	hey !
gi07.cha_352	bouncie bouncie !
gi07.cha_353	well ?
gi07.cha_354	you don't think much of that do you ?
gi07.cha_355	is it warm for you is it ?
gi07.cha_356	well ?
gi07.cha_357	well then ?
gi07.cha_358	come on help me kick .
gi07.cha_359	kick kick kick ?
gi07.cha_360	kick kick kick ?
gi07.cha_361	kick ?
gi07.cha_362	have a kick .
gi07.cha_363	beep ?
gi07.cha_364	have a kick .
gi07.cha_365	hey ?
gi07.cha_366	have a kick .
gi07.cha_367	yes .
gi07.cha_368	that's it ?
gi07.cha_369	have a go .
gi07.cha_370	have a go .
gi07.cha_371	well then ?
gi07.cha_372	they haven't gone have they ?
gi07.cha_373	they haven't gone .
gi07.cha_374	what's that ?
gi07.cha_375	hop ?
gi07.cha_376	we'll have_to teach ya .
gi07.cha_377	how to bash these kittens won't we ?
gi07.cha_378	yes !
gi07.cha_379	come on .
gi07.cha_380	oh well !
gi07.cha_381	what you saying ?
gi07.cha_382	what you saying ?
gi07.cha_383	you want to walk ?
gi07.cha_384	do you ?
gi07.cha_385	do you want to get out and walk ?
gi07.cha_386	well ?
gi07.cha_387	and then you get annoyed cause they don't stop .
gi07.cha_388	don't ya ?
gi07.cha_389	you give yourself hiccoughs though don't ya ?
gi07.cha_390	you do it all by yourself .
gi07.cha_391	well .
gi07.cha_392	yes .
gi07.cha_393	they'll go away soon .
gi07.cha_394	they will .
gi07.cha_395	oh yes .
gi07.cha_396	well then what have we got here ?
gi07.cha_397	what have we here ?
gi07.cha_398	play Christopher !
gi07.cha_399	play ?
gi07.cha_400	they'll go soon after .
gi07.cha_401	they will .
gi07.cha_402	yes .
gi07.cha_403	yes .
gi07.cha_404	oh dear .
gi07.cha_405	well ?
gi07.cha_406	oh ?
gi07.cha_407	oh ?
gi07.cha_408	hiccough ?
gi07.cha_409	hiccough ?
gi07.cha_410	hiccough ?
gi07.cha_411	hiccough ?
gi07.cha_412	my no they won't go away will they ?
gi07.cha_413	oh dear ?
gi07.cha_414	oh dear .
gi07.cha_415	well then ?
gi07.cha_416	give us a smile .
gi07.cha_417	they might go .
gi07.cha_418	yes .
gi07.cha_419	they might go .
gi07.cha_420	well ?
gi07.cha_421	well then ?
gi07.cha_422	they're gone then ?
gi07.cha_423	hello .
gi07.cha_424	hello .
gi07.cha_425	well then ?
gi07.cha_426	hello Christopher .
gi07.cha_427	broop@i ?
gi07.cha_428	broobrop@i ?
gi07.cha_429	broobrop@i ?
gi07.cha_430	yes ?
gi07.cha_431	bropbroop@i ?
gi07.cha_432	well .
gi07.cha_433	bropbroop@i ?
gi07.cha_434	hello Christopher .
gi07.cha_435	hello .
gi07.cha_436	can you bash him ?
gi07.cha_437	there you bash him .
gi07.cha_438	come on it's here for you .
gi07.cha_439	well ?
gi07.cha_440	that's it .
gi07.cha_441	come on .
gi07.cha_442	you bash him .
gi07.cha_443	you bash him .
gi07.cha_444	that's it !
gi07.cha_445	clever ?
gi07.cha_446	bash him .
gi07.cha_447	come on .
gi07.cha_448	you can do it .
gi07.cha_449	move your arms .
gi07.cha_450	that's it .
gi07.cha_451	lift your arms .
gi07.cha_452	touch him .
gi07.cha_453	that's it !
gi07.cha_454	yes !
gi07.cha_455	yes !
gi07.cha_456	yes ?
gi07.cha_457	you can do it .
gi07.cha_458	oh you clever boy .
gi07.cha_459	you clever boy .
gi07.cha_460	well ?
gi07.cha_461	Christopher Clark !
gi07.cha_462	oh dear .
gi07.cha_463	yes you can get him .
gi07.cha_464	you can .
gi07.cha_465	here it is .
gi07.cha_466	here it is .
gi07.cha_467	that's it .
gi07.cha_468	that's it .
gi07.cha_469	there then .
gi07.cha_470	there then .
gi07.cha_471	you do it .
gi07.cha_472	you do it .
gi07.cha_473	what chou [: you] doing with your feet ?
gi07.cha_474	you hit him .
gi07.cha_475	you hit him .
gi07.cha_476	yes .
gi07.cha_477	he's hopeless .
gi07.cha_478	what are you doing kicking ?
gi07.cha_479	are you ?
gi07.cha_480	kicking ?
gi07.cha_481	and you're kicking that ?
gi07.cha_482	well ?
gi07.cha_483	concentrate .
gi07.cha_484	oh ?
gi07.cha_485	you do it .
gi07.cha_486	that's a clever boy .
gi07.cha_487	that's a clever boy .
gi07.cha_488	yes !
gi07.cha_489	yes !
gi07.cha_490	Christopher ?
gi07.cha_491	aren't ya ?
gi07.cha_492	well ?
gi07.cha_493	oh well !
gi07.cha_494	yes ?
gi07.cha_495	do you like that ?
gi07.cha_496	do ya ?
gi07.cha_497	is it frustrating ?
gi07.cha_498	oh well ?
gi11.cha_1	it's your rattle .
gi11.cha_2	here .
gi11.cha_3	you going to hold it ?
gi11.cha_4	what ?
gi11.cha_5	you waving to the camera ?
gi11.cha_6	hey ?
gi11.cha_7	hey you ?
gi11.cha_8	Christopher ?
gi11.cha_9	not supposed to look over there .
gi11.cha_10	no you're not supposed to look at that all the time .
gi11.cha_11	yes that's better what's this ?
gi11.cha_12	what's this ?
gi11.cha_13	do you remember this from yesterday ?
gi11.cha_14	boo ?
gi11.cha_15	boo ?
gi11.cha_16	&ah oh ?
gi11.cha_17	yes .
gi11.cha_18	hello .
gi11.cha_19	hello .
gi11.cha_20	well then ?
gi11.cha_21	gone ?
gi11.cha_22	gone isn't he ?
gi11.cha_23	boo ?
gi11.cha_24	yes .
gi11.cha_25	say hello .
gi11.cha_26	boo ?
gi11.cha_27	oh_my_goodness !
gi11.cha_28	you don't want to bash her ?
gi11.cha_29	what're you doing do you want to hold that ?
gi11.cha_30	hey ?
gi11.cha_31	does it feel nice ?
gi11.cha_32	can't put everything in your mouth you know not everything fits ?
gi11.cha_33	peekaboo ?
gi11.cha_34	peekaboo ?
gi11.cha_35	peekaboo ?
gi11.cha_36	yes .
gi11.cha_37	oh dear .
gi11.cha_38	boo ?
gi11.cha_39	boo ?
gi11.cha_40	&ah boo !
gi11.cha_41	&ah boo !
gi11.cha_42	she's got a funny face .
gi11.cha_43	she's smiling .
gi11.cha_44	well .
gi11.cha_45	you hold her then .
gi11.cha_46	don't twist it .
gi11.cha_47	oh dear .
gi11.cha_48	I'm sure .
gi11.cha_49	oh_goodness me .
gi11.cha_50	&ah boo !
gi11.cha_51	boo ?
gi11.cha_52	phoo ?
gi11.cha_53	phoo ?
gi11.cha_54	well you like your fingers today don't you ?
gi11.cha_55	we'll have_to get off these fingers you know ?
gi11.cha_56	we'll have none left .
gi11.cha_57	what ?
gi11.cha_58	will ya ?
gi11.cha_59	do you want to sing to me ?
gi11.cha_60	no ?
gi11.cha_61	rattle ?
gi11.cha_62	well .
gi11.cha_63	what can we expect ?
gi11.cha_64	no you can't get your whole hand in your mouth .
gi11.cha_65	it's not big enough .
gi11.cha_66	oh dear .
gi11.cha_67	dear me .
gi11.cha_68	where's your parrot hey ?
gi11.cha_69	show me .
gi11.cha_70	oh yes .
gi11.cha_71	there .
gi11.cha_72	who's that ?
gi11.cha_73	you haven't seen him for some time have you ?
gi11.cha_74	boo ?
gi11.cha_75	boo ?
gi11.cha_76	boo ?
gi11.cha_77	hey .
gi11.cha_78	well then ?
gi11.cha_79	well then what's up ?
gi11.cha_80	have a dance today whee boo !
gi11.cha_81	well then ?
gi11.cha_82	you want my finger do ya ?
gi11.cha_83	oh Christopher come on .
gi11.cha_84	what a noise !
gi11.cha_85	are we holding hands ?
gi11.cha_86	I've been making this noise for half an hour and it's hard .
gi11.cha_87	hey ?
gi11.cha_88	want teeth ?
gi11.cha_89	do you ?
gi11.cha_90	you don't need teeth with a tummy like yours do you ?
gi11.cha_91	no .
gi11.cha_92	well you have_to stop this you know ?
gi11.cha_93	you do really .
gi11.cha_94	hey ?
gi11.cha_95	what ?
gi11.cha_96	what you saying ?
gi11.cha_97	hey ?
gi11.cha_98	well that's what your trying to get hold of .
gi11.cha_99	oh dear .
gi11.cha_100	what're you saying ?
gi11.cha_101	what you talking about ?
gi11.cha_102	pardon ?
gi11.cha_103	my_goodness .
gi11.cha_104	I hope your not going to carry on like this all day .
gi11.cha_105	you want Myron to think you do like that all the time ?
gi11.cha_106	hey ?
gi11.cha_107	what'll they think ?
gi11.cha_108	they'll think your just like your dad .
gi11.cha_109	they will .
gi11.cha_110	yes .
gi11.cha_111	they'll say oh he's just like his dad .
gi11.cha_112	always at the food .
gi11.cha_113	yes .
gi11.cha_114	you you're not ?
gi11.cha_115	are you really hungry ?
gi11.cha_116	let's pretend .
gi11.cha_117	yes .
gi11.cha_118	are you ?
gi11.cha_119	yes .
gi11.cha_120	well then ?
gi11.cha_121	yes .
gi11.cha_122	o:h !
gi11.cha_123	oh well !
gi11.cha_124	and what else happened today ?
gi11.cha_125	really ?
gi11.cha_126	it did ?
gi11.cha_127	well .
gi11.cha_128	and what did you do then ?
gi11.cha_129	what ?
gi11.cha_130	really ?
gi11.cha_131	and what happened then what happened then ?
gi11.cha_132	hey ?
gi11.cha_133	come on tell me .
gi11.cha_134	yes !
gi11.cha_135	&ha hoo@i hoo@i ?
gi11.cha_136	oh dear .
gi11.cha_137	what you trying to get ?
gi11.cha_138	are you trying to grab my hair are you ?
gi11.cha_139	yes ?
gi11.cha_140	oh well .
gi11.cha_141	yes ?
gi11.cha_142	you're a funny little boy aren't you ?
gi11.cha_143	&ha:h are you ?
gi11.cha_144	yes ?
gi11.cha_145	a little boy .
gi11.cha_146	and where are you going to ?
gi11.cha_147	yes ?
gi11.cha_148	are you going for a walk ?
gi11.cha_149	are you ?
gi11.cha_150	yeah .
gi11.cha_151	come on then grab my hair .
gi11.cha_152	&ah goo !
gi11.cha_153	come on then grab my hair .
gi11.cha_154	you can get it .
gi11.cha_155	yes you can .
gi11.cha_156	yes you can .
gi11.cha_157	come on .
gi11.cha_158	oop ?
gi11.cha_159	come on .
gi11.cha_160	oh ?
gi11.cha_161	oh ?
gi11.cha_162	my_goodness !
gi11.cha_163	oh ?
gi11.cha_164	oh o:h ?
gi11.cha_165	I'm sure you like it .
gi11.cha_166	yes .
gi11.cha_167	what's it feel like ?
gi11.cha_168	you don't need to pull it out .
gi11.cha_169	it's attached to my head you know ?
gi11.cha_170	my_goodness both hands oh dear .
gi11.cha_171	you silly boy .
gi11.cha_172	one day when you've got some I'll pull yours .
gi11.cha_173	ow ?
gi11.cha_174	you've got a strong grip haven't you boy ?
gi11.cha_175	Christopher .
gi11.cha_176	you can't chew me nails as_well .
gi11.cha_177	ow ?
gi11.cha_178	oh ?
gi11.cha_179	oh dear !
gi11.cha_180	oh ?
gi11.cha_181	well ?
gi11.cha_182	and did you like that ?
gi11.cha_183	I didn't .
gi11.cha_184	no .
gi11.cha_185	I may need some hair some day you know ?
gi11.cha_186	and let's not do it to your dad he hasn't got very much .
gi11.cha_187	he hasn't ?
gi11.cha_188	are you back to sucking your fingers again ?
gi11.cha_189	my_goodness .
gi11.cha_190	gracious ?
gi11.cha_191	Christopher .
gi11.cha_192	that must taste really nice what flavor is it ?
gi11.cha_193	&hmm ?
gi11.cha_194	what flavor is it ?
gi11.cha_195	raspberry ?
gi11.cha_196	not raspberry ?
gi11.cha_197	strawberry ?
gi11.cha_198	no it's not so good lying on your tummy or on your sides either .
gi11.cha_199	oh dear .
gi11.cha_200	where ya kicking ?
gi11.cha_201	what cha [: you] kicking ?
gi11.cha_202	yourself ?
gi11.cha_203	you tickling your toes ?
gi11.cha_204	tickle your toes .
gi11.cha_205	come on tickle your toes .
gi11.cha_206	yes .
gi11.cha_207	don't you have tickly feet ?
gi11.cha_208	kick your feet .
gi11.cha_209	yes can you see your feet ?
gi11.cha_210	their your feet .
gi11.cha_211	dear me .
gi11.cha_212	oh dear .
gi11.cha_213	what's this ?
gi11.cha_214	what's that ?
gi11.cha_215	oh dear Christopher .
gi11.cha_216	is it that bad ?
gi11.cha_217	it's not ?
gi11.cha_218	it's not bad ?
gi11.cha_219	hold my hair again .
gi11.cha_220	come on .
gi11.cha_221	don't want to do anything except suck do ya ?
gi11.cha_222	there .
gi11.cha_223	oh dear oh dear .
gi11.cha_224	hey ?
gi11.cha_225	oh come on hey ?
gi11.cha_226	hey ?
gi11.cha_227	whey ?
gi11.cha_228	no .
gi11.cha_229	well !
gi11.cha_230	hey .
gi11.cha_231	no .
gi11.cha_232	no .
gi11.cha_233	oh dear .
gi11.cha_234	oops ?
gi11.cha_235	your going to have blisters all over your hands you are .
gi11.cha_236	you are you're going to have big +...
gi11.cha_237	arsies@wp .
gi11.cha_238	oh don't go to sleep .
gi11.cha_239	suck on this .
gi11.cha_240	you're supposed to be a big star .
gi11.cha_241	you can't do that .
gi11.cha_242	it's not on .
gi11.cha_243	it's not on .
gi11.cha_244	daddy's come home .
gi11.cha_245	yes he has .
gi11.cha_246	yes he has .
gi11.cha_247	well .
gi11.cha_248	oh sorry .
gi11.cha_249	oh Christopher .
gi11.cha_250	well ?
gi11.cha_251	oh I'm sorry .
gi11.cha_252	am I keeping you awake ?
gi11.cha_253	I'm not Christopher .
gi11.cha_254	well ?
gi11.cha_255	well then ?
gi11.cha_256	who's that ?
gi11.cha_257	&ah wa^wa^wa^wawoo@o !
gi11.cha_258	oh dear .
gi11.cha_259	dear me .
gi11.cha_260	all this sucking .
gi11.cha_261	hey ?
gi11.cha_262	yes .
gi11.cha_263	there sorry .
gi11.cha_264	&hmm that's not what we want to hear you say .
gi11.cha_265	go on that's it .
gi11.cha_266	yes .
gi11.cha_267	well then ?
gi11.cha_268	oh no not your finger .
gi11.cha_269	come on .
gi11.cha_270	ahhboobabooba@wp !
gi11.cha_271	ahhboobabooba@wp !
gi11.cha_272	come on .
gi11.cha_273	ahboobaboobaboobaba@wp !
gi11.cha_274	boobababoobaba@wp ?
gi11.cha_275	you do it .
gi11.cha_276	come on .
gi11.cha_277	you do it .
gi11.cha_278	can you blow a raspberry yet ?
gi11.cha_279	can you ?
gi11.cha_280	brroop@i ?
gi11.cha_281	go on .
gi11.cha_282	well ?
gi11.cha_283	brroop@i ?
gi11.cha_284	you do it .
gi11.cha_285	you do it .
gi11.cha_286	brroop@i !
gi11.cha_287	come on .
gi11.cha_288	brroop@i !
gi11.cha_289	yes come on .
gi11.cha_290	bur:p ?
gi11.cha_291	come on .
gi11.cha_292	you do it .
gi11.cha_293	try it .
gi11.cha_294	well you can blow bubbles though .
gi11.cha_295	can't you ?
gi11.cha_296	brroop@i !
gi11.cha_297	well !
gi11.cha_298	do you think I shouldn't do it ?
gi11.cha_299	or should I drink it again ?
gi11.cha_300	brroop@i ?
gi11.cha_301	&hah hoo@i ?
gi11.cha_302	you do it .
gi11.cha_303	come on .
gi11.cha_304	it's not so difficult .
gi11.cha_305	you do it yes .
gi11.cha_306	come on .
gi11.cha_307	yes .
gi11.cha_308	come on then .
gi11.cha_309	no I didn't say suck my fingers I didn't .
gi11.cha_310	we'll have no fingers left if we carry on like this you know ?
gi11.cha_311	they'll be sucked away to the bone .
gi11.cha_312	they will .
gi11.cha_313	sucked away to the bone .
gi11.cha_314	makes you sick to chew your fingers doesn't it ?
gi11.cha_315	it does .
gi11.cha_316	makes you sick to chew them down your throat .
gi11.cha_317	do you want to do a bubble ?
gi11.cha_318	come on .
gi11.cha_319	brroo@i !
gi11.cha_320	come on .
gi11.cha_321	brroo@i ?
gi11.cha_322	you can do that can't you ?
gi11.cha_323	brroo@i ?
gi11.cha_324	go on .
gi11.cha_325	brroo@i !
gi11.cha_326	brroo@i ?
gi11.cha_327	you put it down with your hand you know ?
gi11.cha_328	you can't feed yourself without a thumb you know ?
gi11.cha_329	o:h ?
gi11.cha_330	o:h !
gi11.cha_331	you ought_to do a Busby you know ?
gi11.cha_332	yes you ought_(to) .
gi11.cha_333	here you are both of them .
gi11.cha_334	oh well .
gi11.cha_335	that's not the right size that one .
gi11.cha_336	he's got hold of another one there .
gi11.cha_337	my_goodness me .
gi11.cha_338	you poor crying thing .
gi11.cha_339	it's a good job you haven't got teeth isn't it ?
gi11.cha_340	oh dear .
gi11.cha_341	well then .
gi11.cha_342	boo: ?
gi11.cha_343	&ah boo: !
gi11.cha_344	boo: !
gi11.cha_345	boo ?
gi11.cha_346	&ah boo: !
gi11.cha_347	o:h eee !
gi11.cha_348	&ah boo: !
gi11.cha_349	&ah boo: !
gi11.cha_350	yes .
gi11.cha_351	what are you saying ya saying go again ?
gi11.cha_352	is that what you're saying ?
gi11.cha_353	yes .
gi11.cha_354	yes .
gi11.cha_355	&ah boo !
gi11.cha_356	you saying boo ?
gi11.cha_357	can you ?
gi11.cha_358	here then give it a try .
gi11.cha_359	oh dear .
gi11.cha_360	oh ?
gi11.cha_361	you want me to suck your fingers ?
gi11.cha_362	does that send you to sleep ?
gi11.cha_363	o:h !
gi11.cha_364	ooowoowoowoowoowowoo@i !
gi11.cha_365	yes .
gi11.cha_366	whew ?
gi11.cha_367	you don't really want that thing in your mouth ?
gi11.cha_368	o:h !
gi11.cha_369	want a cup of tea ?
gi11.cha_370	do ya ?
gi11.cha_371	cup of tea ?
gi15.cha_1	who's that ?
gi15.cha_2	who's that ?
gi15.cha_3	yes , who's that come to see you , it's parrot isn't it , yes ?
gi15.cha_4	do you like him today ?
gi15.cha_5	do you ?
gi15.cha_6	what's he saying ?
gi15.cha_7	peekaboo ?
gi15.cha_8	well ?
gi15.cha_9	dear dear dear .
gi15.cha_10	what you doing to him today , are you pulling him all down and up ?
gi15.cha_11	what .
gi15.cha_12	what's he saying ?
gi15.cha_13	what ?
gi15.cha_14	what's he saying ?
gi15.cha_15	he's going to stand on his head .
gi15.cha_16	hey ?
gi15.cha_17	yes .
gi15.cha_18	come on then; say hello to parrot ?
gi15.cha_19	go on .
gi15.cha_20	say .
gi15.cha_21	hello .
gi15.cha_22	goodness me .
gi15.cha_23	you bash him ?
gi15.cha_24	cmon .
gi15.cha_25	whoa ?
gi15.cha_26	what's he doing ?
gi15.cha_27	oops falling over .
gi15.cha_28	you bash him go on .
gi15.cha_29	say .
gi15.cha_30	chewing your thumbs ?
gi15.cha_31	where's he going with you ?
gi15.cha_32	where's the bubbles ?
gi15.cha_33	there .
gi15.cha_34	parrot ?
gi15.cha_35	are you going to chew him ?
gi15.cha_36	n't [: doesn't] taste very nice , let's see you word word word .
gi15.cha_37	n't [: don't] put it in your mouth .
gi15.cha_38	who's that ?
gi15.cha_39	hey ?
gi15.cha_40	you won't reach him if you hang on to your jumper you know , you
gi15.cha_41	cmon .
gi15.cha_42	oop ?
gi15.cha_43	oops ?
gi15.cha_44	clever .
gi15.cha_45	n'ta [: not going to] do it again ?
gi15.cha_46	go on .
gi15.cha_47	you're a big shouter aren't you ?
gi15.cha_48	look ?
gi15.cha_49	what chou [: you] looking at kitty cat ?
gi15.cha_50	hey ?
gi15.cha_51	are your looking ?
gi15.cha_52	you can't just shout at people you know ?
gi15.cha_53	yes .
gi15.cha_54	he's coming to peck you .
gi15.cha_55	that's it .
gi15.cha_56	aren't we in word word word ?
gi15.cha_57	hey ?
gi15.cha_58	&hmm ?
gi15.cha_59	yes .
gi15.cha_60	yes ?
gi15.cha_61	well ?
gi15.cha_62	yes ?
gi15.cha_63	yes ?
gi15.cha_64	is that what it means ?
gi15.cha_65	can't you get him ?
gi15.cha_66	can't you ?
gi15.cha_67	well ?
gi15.cha_68	word word word .
gi15.cha_69	can't you ?
gi15.cha_70	yes you are mad ?
gi15.cha_71	hoo@i well !
gi15.cha_72	what were we doing today , hey ?
gi15.cha_73	did you ?
gi15.cha_74	my_goodness , all that noise .
gi15.cha_75	from such a little boy .
gi15.cha_76	you were going red in the face .
gi15.cha_77	yes .
gi15.cha_78	oh: well !
gi15.cha_79	oh I hope you're not going to shout at parrot for all your life .
gi15.cha_80	well ?
gi15.cha_81	can you sit on a perch , can you ?
gi15.cha_82	do you want to sit up on the perch ?
gi15.cha_83	can you ?
gi15.cha_84	that parrot brings out the worst in you doesn't he ?
gi15.cha_85	yes he does .
gi15.cha_86	yes .
gi15.cha_87	what are you doing to him ?
gi15.cha_88	he can't fight back ?
gi15.cha_89	really .
gi15.cha_90	what's all those fingers in your mouth for ?
gi15.cha_91	hey ?
gi15.cha_92	can't you say anything else ?
gi15.cha_93	you have_to stop swearing you know , you do .
gi15.cha_94	what's this ?
gi15.cha_95	boo ?
gi15.cha_96	&ah boo !
gi15.cha_97	&ah boo !
gi15.cha_98	boo ?
gi15.cha_99	boo ?
gi15.cha_100	you do that for hide ?
gi15.cha_101	boo ?
gi15.cha_102	&ah boo !
gi15.cha_103	do you like it ?
gi15.cha_104	do you like her ?
gi15.cha_105	yes , boo !
gi15.cha_106	hello Christopher .
gi15.cha_107	hello cricket .
gi15.cha_108	do you like her ?
gi15.cha_109	she's a puppet .
gi15.cha_110	oh yes .
gi15.cha_111	yes .
gi15.cha_112	say bye .
gi15.cha_113	bye bye .
gi15.cha_114	boo ?
gi15.cha_115	hello .
gi15.cha_116	hello .
gi15.cha_117	really ?
gi15.cha_118	my_goodness .
gi15.cha_119	boo ?
gi15.cha_120	boo boo boo ?
gi15.cha_121	boo ?
gi15.cha_122	hello .
gi15.cha_123	hello .
gi15.cha_124	you do it ?
gi15.cha_125	Peep_bo .
gi15.cha_126	hold her hand ?
gi15.cha_127	here .
gi15.cha_128	that's better .
gi15.cha_129	now .
gi15.cha_130	you're a little tree now .
gi15.cha_131	it's your turn to say goodbye .
gi15.cha_132	say goodbye ?
gi15.cha_133	boo ?
gi15.cha_134	boo ?
gi15.cha_135	yeah .
gi15.cha_136	hello hello .
gi15.cha_137	hello Christopher ?
gi15.cha_138	now you shouldn't grab things .
gi15.cha_139	there .
gi15.cha_140	oh kick .
gi15.cha_141	brrr^voom^vooom^vooom^va^va^vooom@o !
gi15.cha_142	&hah vooom@o !
gi15.cha_143	&ah: vooom@o !
gi15.cha_144	what chou [: you] saying to him; come here ?
gi15.cha_145	can you tickle him ?
gi15.cha_146	give him a tickle ?
gi15.cha_147	there's a great couple of things I could do with him .
gi15.cha_148	comin(g) comin(g) .
gi15.cha_149	boo ?
gi15.cha_150	not very good anymore , hey ?
gi15.cha_151	don't know what you're going to do next do you ?
gi15.cha_152	huh ?
gi15.cha_153	&hmm , look right round ?
gi15.cha_154	oh look ?
gi15.cha_155	what did he say ?
gi15.cha_156	&hmm ?
gi15.cha_157	look round ?
gi15.cha_158	you take him off then , come on ?
gi15.cha_159	come on .
gi15.cha_160	boo ?
gi15.cha_161	boo ?
gi15.cha_162	boo ?
gi15.cha_163	boo ?
gi15.cha_164	what's all this sucking of fingers going on ?
gi15.cha_165	look here ?
gi15.cha_166	ye:s ?
gi15.cha_167	I've come to see you .
gi15.cha_168	oh dear .
gi15.cha_169	you'll make yourself sick one day you know ?
gi15.cha_170	you will ?
gi15.cha_171	putting those fingers all the way down your throat ?
gi15.cha_172	what's this ?
gi15.cha_173	where's your knicker(s) ?
gi15.cha_174	who's this ?
gi15.cha_175	oop ?
gi15.cha_176	hello .
gi15.cha_177	I've come to see you .
gi15.cha_178	I've come to say hello .
gi15.cha_179	we don't want half an hour of sucking fingers .
gi15.cha_180	boo ?
gi15.cha_181	I'm going to eat you_all up .
gi15.cha_182	I'm going to eat you_all up .
gi15.cha_183	yes .
gi15.cha_184	tickle your tummy ?
gi15.cha_185	tickle your tummy ?
gi15.cha_186	are you still looking at that parrot ?
gi15.cha_187	o:h !
gi15.cha_188	tickle tickle tickle ?
gi15.cha_189	tickle tickle tickle tickle tickle tickle tickle !
gi15.cha_190	tickle tickle tickle tickle tickle tickle tickle tickle tickle
gi15.cha_191	tickle tickle ?
gi15.cha_192	tickle tickle tickle tickle tickle tickle tickle !
gi15.cha_193	tickle ?
gi15.cha_194	yes .
gi15.cha_195	my_goodness .
gi15.cha_196	have you given that parrot a telling off have you ?
gi15.cha_197	I'll put him on; what's he done to you ?
gi15.cha_198	what's he done ?
gi15.cha_199	hey ?
gi15.cha_200	what's he done ?
gi15.cha_201	tickle tickle tickle tickle tickle tickle tickle !
gi15.cha_202	hey ?
gi15.cha_203	what did he do ?
gi15.cha_204	my_goodness .
gi15.cha_205	you're not doing it to him are you ?
gi15.cha_206	poor parrot deserves a certain warning .
gi15.cha_207	it's enough .
gi15.cha_208	I think you don't like him ?
